"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://vacationdeals.to/deals/getawaydealz-cabo-san-lucas-3-night-499-v2","1","Luxury Cabo Beach… Cabo San Lucas — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","838","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cabo-san-lucas-3-night-499","1","Luxury Cabo Beach… Cabo San Lucas — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","838","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-599","1","Sandos Caracol… Playa Del Carmen — 4D/3N from $599 via GetawayDealz | VacationDeals.to","86","819","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-599-v2","1","Sandos Caracol… Playa Del Carmen — 4D/3N from $599 via GetawayDealz | VacationDeals.to","86","819","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-williamsburg-3-night-99","1","Westgate Historic Wi… Williamsburg — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","813","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-williamsburg-3-night-99-v2","1","Westgate Historic Wi… Williamsburg — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","813","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cozumel-3-night-499","1","Cozumel Cape Resort Spa Cozumel — 4D/3N from $499 via GetawayDealz | VacationDeals.to","85","819","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cozumel-3-night-499-v2","1","Cozumel Cape Resort Spa Cozumel — 4D/3N from $499 via GetawayDealz | VacationDeals.to","85","819","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-499","1","Aventuras Resor… Playa Del Carmen — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","825","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-499-v2","1","Aventuras Resor… Playa Del Carmen — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","825","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-tulum-3-night-499","1","Diamond Luxury Tulum Resort Tulum — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","834","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-tulum-3-night-499-v2","1","Diamond Luxury Tulum Resort Tulum — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","834","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-799","1","Sandos Playacar… Playa Del Carmen — 4D/3N from $799 via GetawayDealz | VacationDeals.to","87","827","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-799-v2","1","Sandos Playacar… Playa Del Carmen — 4D/3N from $799 via GetawayDealz | VacationDeals.to","87","827","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cabo-san-lucas-3-night-599","1","Sandos Finisterra… Cabo San Lucas — 4D/3N from $599 via GetawayDealz | VacationDeals.to","87","821","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cabo-san-lucas-3-night-599-v2","1","Sandos Finisterra… Cabo San Lucas — 4D/3N from $599 via GetawayDealz | VacationDeals.to","87","821","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-499-v3","1","Sapphire Rivier… Playa Del Carmen — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","811","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-playa-del-carmen-3-night-499-v4","1","Sapphire Rivier… Playa Del Carmen — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","811","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-massanutten-3-night-99-v2","1","Massanutten Resort Massanutten — 4D/3N from $99 via GetawayDealz | VacationDeals.to","83","794","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-massanutten-3-night-99-v3","1","Massanutten Resort Massanutten — 4D/3N from $99 via GetawayDealz | VacationDeals.to","83","794","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-myrtle-beach-3-night-99","1","Westgate Myrtle Beac… Myrtle Beach — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","822","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-myrtle-beach-3-night-99-v2","1","Westgate Myrtle Beac… Myrtle Beach — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","822","Indexable",""
"https://vacationdeals.to/deals/marriott-orlando-3-night-399-v2","1","special offer Orlando — 4D/3N from $399 via Marriott Vacation Club | VacationDeals.to","85","763","Indexable",""
"https://vacationdeals.to/deals/marriott-orlando-3-night-399","1","special offer Orlando — 4D/3N from $399 via Marriott Vacation Club | VacationDeals.to","85","763","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v7","1","Vista Cancun Resort Spa Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","84","797","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v8","1","Vista Cancun Resort Spa Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","84","797","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v6","1","Sands Cancun Resort Spa Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","84","808","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v5","1","Sands Cancun Resort Spa Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","84","808","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v3","1","Jade Riviera Cancun Resort Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","822","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v4","1","Jade Riviera Cancun Resort Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","822","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-cancun-4-night-479-v7","1","Grand Oasi… Cancun — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","832","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-cancun-4-night-479-v2","1","Grand Oasi… Cancun — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","832","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499-v2","1","Luxury Riviera Cancun Spa… Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","827","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-cancun-3-night-499","1","Luxury Riviera Cancun Spa… Cancun — 4D/3N from $499 via GetawayDealz | VacationDeals.to","87","827","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-punta-cana-4-night-479-v15","1","Luxury… Punta Cana — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","829","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-punta-cana-4-night-479-v6","1","Luxury… Punta Cana — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","829","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-punta-cana-4-night-479","1","Luxury… Punta Cana — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","829","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-punta-cana-4-night-479-v10","1","Luxury… Punta Cana — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","829","Indexable",""
"https://vacationdeals.to/deals/timeshare-vacation-packages-punta-cana-4-night-479-v21","1","Luxury… Punta Cana — 5D/4N from $479 via Timeshare Vacation Packages | VacationDeals.to","87","829","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-las-vegas-3-night-99-v3","1","Westgate Las Vegas Reso… Las Vegas — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","833","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-las-vegas-3-night-99-v2","1","Westgate Las Vegas Reso… Las Vegas — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","833","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-las-vegas-3-night-99-v6","1","Westgate Las Vegas Reso… Las Vegas — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","833","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-las-vegas-3-night-99-v5","1","Westgate Las Vegas Reso… Las Vegas — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","833","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-las-vegas-3-night-99-v4","1","Westgate Las Vegas Reso… Las Vegas — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","833","Indexable",""
"https://vacationdeals.to/deals/westgate-las-vegas-3-night-99","1","3-Night Viva L… Las Vegas — 4D/3N from $99 via Westgate Reservations | VacationDeals.to","87","804","Indexable",""
"https://vacationdeals.to/deals/westgate-las-vegas-3-night-99-v4","1","3-Night Viva L… Las Vegas — 4D/3N from $99 via Westgate Reservations | VacationDeals.to","87","804","Indexable",""
"https://vacationdeals.to/deals/westgate-las-vegas-2-night-149-v2","1","3-Day Las Veg… Las Vegas — 3D/2N from $149 via Westgate Reservations | VacationDeals.to","87","818","Indexable",""
"https://vacationdeals.to/deals/westgate-las-vegas-2-night-149","1","3-Day Las Veg… Las Vegas — 3D/2N from $149 via Westgate Reservations | VacationDeals.to","87","818","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-las-vegas-3-night-99","1","Westgate Las Vegas Reso… Las Vegas — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","833","Indexable",""
"https://vacationdeals.to/deals/westgate-branson-3-night-99-v4","1","Westgate Branson… Branson — 4D/3N from $99 via Westgate Reservations | VacationDeals.to","87","827","Indexable",""
"https://vacationdeals.to/deals/westgate-branson-3-night-99-v3","1","Westgate Branson… Branson — 4D/3N from $99 via Westgate Reservations | VacationDeals.to","87","827","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-branson-3-night-99-v3","1","Westgate Branson Woods Re… Branson — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","843","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-branson-3-night-99-v2","1","Westgate Branson Woods Re… Branson — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","843","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-branson-3-night-99","1","Westgate Branson Woods Re… Branson — 4D/3N from $99 via GetawayDealz | VacationDeals.to","87","843","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399-v6","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399-v5","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399-v4","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399-v3","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399-v7","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399-v8","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-399","1","Discount EPCOT Eat to  — 4D/3N from $399 via Westgate Events | VacationDeals.to","79","732","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-orlando-3-night-99-v4","1","Westgate Lakes Resort Spa Orlando — 4D/3N from $99 via GetawayDealz | VacationDeals.to","86","811","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-orlando-3-night-99-v3","1","Westgate Lakes Resort Spa Orlando — 4D/3N from $99 via GetawayDealz | VacationDeals.to","86","811","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-orlando-3-night-99-v5","1","Westgate Town Center Orlando — 4D/3N from $99 via GetawayDealz | VacationDeals.to","81","772","Indexable",""
"https://vacationdeals.to/deals/getawaydealz-orlando-3-night-99-v2","1","Westgate Town Center Orlando — 4D/3N from $99 via GetawayDealz | VacationDeals.to","81","772","Indexable",""
