"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://vacationdeals.to/","text/html; charset=utf-8","200","OK","Indexable","","3037","0.318","",""
"https://vacationdeals.to/resort-roulette","text/html; charset=utf-8","200","OK","Indexable","","1446","0.404","",""
"https://vacationdeals.to/hgv","text/html; charset=utf-8","200","OK","Indexable","","1582","0.404","",""
"https://vacationdeals.to/brands","text/html; charset=utf-8","200","OK","Indexable","","3434","0.396","",""
"https://vacationdeals.to/hyatt","text/html; charset=utf-8","200","OK","Indexable","","43","0.170","",""
"https://vacationdeals.to/marriott","text/html; charset=utf-8","200","OK","Indexable","","1707","0.396","",""
"https://vacationdeals.to/deals/westgate-branson-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2918","0.128","",""
"https://vacationdeals.to/deals/westgate-events-branson-3-night-49.00","text/html; charset=utf-8","200","OK","Indexable","","2917","0.079","",""
"https://vacationdeals.to/deals/westgate-orlando-2-night-59","text/html; charset=utf-8","200","OK","Indexable","","2995","0.088","",""
"https://vacationdeals.to/cancun","text/html; charset=utf-8","200","OK","Indexable","","2251","0.159","",""
"https://vacationdeals.to/destinations","text/html; charset=utf-8","200","OK","Indexable","","3616","0.110","",""
"https://vacationdeals.to/wyndham","text/html; charset=utf-8","200","OK","Indexable","","1686","0.097","",""
"https://vacationdeals.to/deals/westgate-gatlinburg-2-night-59","text/html; charset=utf-8","200","OK","Indexable","","2919","0.095","",""
"https://vacationdeals.to/deals/westgate-williamsburg-2-night-79","text/html; charset=utf-8","200","OK","Indexable","","2911","0.089","",""
"https://vacationdeals.to/las-vegas","text/html; charset=utf-8","200","OK","Indexable","","2394","0.113","",""
"https://vacationdeals.to/_next/static/chunks/polyfills-42372ed130431b0a.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.052","",""
"https://vacationdeals.to/branson","text/html; charset=utf-8","200","OK","Indexable","","794","0.096","",""
"https://vacationdeals.to/_next/static/chunks/app/layout-9da5ce6c3aec11e1.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.045","",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-79.00","text/html; charset=utf-8","200","OK","Indexable","","2903","0.146","",""
"https://vacationdeals.to/timeshare-laws","text/html; charset=utf-8","200","OK","Indexable","","1444","0.071","",""
"https://vacationdeals.to/deals/vacationvip-gatlinburg-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2917","0.100","",""
"https://vacationdeals.to/festiva","text/html; charset=utf-8","200","OK","Indexable","","45","0.103","",""
"https://vacationdeals.to/spinnaker","text/html; charset=utf-8","200","OK","Indexable","","46","0.144","",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-79","text/html; charset=utf-8","200","OK","Indexable","","2904","0.102","",""
"https://vacationdeals.to/deals/westgate-myrtle-beach-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2917","0.090","",""
"https://vacationdeals.to/_next/static/chunks/webpack-2bc98c90eb994012.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.224","",""
"https://vacationdeals.to/deals/westgate-orlando-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2998","0.170","",""
"https://vacationdeals.to/_next/static/chunks/app/(frontend)/page-e216e37d70cdf568.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.211","",""
"https://vacationdeals.to/_next/static/css/0177123fc34f8003.css","text/css; charset=UTF-8","200","OK","Indexable","","0","0.081","",""
"https://vacationdeals.to/deals/vacationvip-myrtle-beach-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2916","0.145","",""
"https://vacationdeals.to/terms","text/html; charset=utf-8","200","OK","Indexable","","2890","0.357","",""
"https://vacationdeals.to/vacpack-games","text/html; charset=utf-8","200","OK","Indexable","","1449","0.445","",""
"https://vacationdeals.to/villa-group","text/html; charset=utf-8","200","OK","Indexable","","12","0.277","",""
"https://vacationdeals.to/deals/vacationvip-orlando-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2997","0.264","",""
"https://vacationdeals.to/westgate-events","text/html; charset=utf-8","200","OK","Indexable","","72","0.559","",""
"https://vacationdeals.to/about","text/html; charset=utf-8","200","OK","Indexable","","1444","0.076","",""
"https://vacationdeals.to/orlando","text/html; charset=utf-8","200","OK","Indexable","","2811","0.665","",""
"https://vacationdeals.to/westgate","text/html; charset=utf-8","200","OK","Indexable","","1916","0.489","",""
"https://vacationdeals.to/privacy","text/html; charset=utf-8","200","OK","Indexable","","2891","0.272","",""
"https://vacationdeals.to/bookvip","text/html; charset=utf-8","200","OK","Indexable","","1595","0.510","",""
"https://vacationdeals.to/deals/westgate-orlando-2-night-79","text/html; charset=utf-8","200","OK","Indexable","","2903","0.519","",""
"https://vacationdeals.to/deals/westgate-events-orlando-2-night-99.00","text/html; charset=utf-8","200","OK","Indexable","","2901","0.316","",""
"https://vacationdeals.to/blog","text/html; charset=utf-8","200","OK","Indexable","","3460","0.527","",""
"https://vacationdeals.to/deals/govip-various-3-night-149","text/html; charset=utf-8","200","OK","Indexable","","2884","0.158","",""
"https://vacationdeals.to/_next/static/chunks/1509-8c14114b7a514f59.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.054","",""
"https://vacationdeals.to/_next/static/chunks/9813-84f9753e13ce2b0d.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.067","",""
"https://vacationdeals.to/deals/westgate-las-vegas-2-night-79","text/html; charset=utf-8","200","OK","Indexable","","2931","0.110","",""
"https://vacationdeals.to/departure-depot","text/html; charset=utf-8","200","OK","Indexable","","59","0.137","",""
"https://vacationdeals.to/gatlinburg","text/html; charset=utf-8","200","OK","Indexable","","2290","0.143","",""
"https://vacationdeals.to/vacation-village","text/html; charset=utf-8","200","OK","Indexable","","45","0.846","",""
"https://vacationdeals.to/deals","text/html; charset=utf-8","200","OK","Indexable","","4431","0.930","",""
"https://vacationdeals.to/staypromo","text/html; charset=utf-8","200","OK","Indexable","","80","0.808","",""
"https://vacationdeals.to/mrg","text/html; charset=utf-8","200","OK","Indexable","","81","0.738","",""
"https://vacationdeals.to/deals/westgate-orlando-3-night-79","text/html; charset=utf-8","200","OK","Indexable","","2905","0.073","",""
"https://vacationdeals.to/deals/westgate-las-vegas-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2933","0.084","",""
"https://vacationdeals.to/_next/static/chunks/main-app-911028879a95b9c4.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.050","",""
"https://vacationdeals.to/_next/static/chunks/app/(frontend)/layout-97b5486320442ed5.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.051","",""
"https://vacationdeals.to/myrtle-beach","text/html; charset=utf-8","200","OK","Indexable","","2271","0.103","",""
"https://vacationdeals.to/rate-recap","text/html; charset=utf-8","200","OK","Indexable","","1723","0.971","",""
"https://vacationdeals.to/_next/static/chunks/bbcba086-a51d5b87339d8621.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.064","",""
"https://vacationdeals.to/deals/vacationvip-daytona-beach-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2901","0.137","",""
"https://vacationdeals.to/deals/westgate-multiple-destinations-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","2878","0.117","",""
"https://vacationdeals.to/rate-recap-bluegreen","text/html; charset=utf-8","200","OK","Indexable","","81","0.866","",""
"https://vacationdeals.to/rate-recap-westgate-events","text/html; charset=utf-8","200","OK","Indexable","","81","0.843","",""
"https://vacationdeals.to/myrtle-beach-weekend","text/html; charset=utf-8","200","OK","Indexable","","55","0.914","",""
"https://vacationdeals.to/rate-recap-wyndham","text/html; charset=utf-8","200","OK","Indexable","","81","1.636","",""
"https://vacationdeals.to/rate-recap-capital-vacations","text/html; charset=utf-8","200","OK","Indexable","","81","1.658","",""
"https://vacationdeals.to/rate-recap-sheraton-vc","text/html; charset=utf-8","200","OK","Indexable","","81","1.761","",""
"https://vacationdeals.to/rate-recap-divi","text/html; charset=utf-8","200","OK","Indexable","","81","1.705","",""
"https://vacationdeals.to/rate-recap-bahia-principe","text/html; charset=utf-8","200","OK","Indexable","","81","1.726","",""
"https://vacationdeals.to/rate-recap-massanutten","text/html; charset=utf-8","200","OK","Indexable","","81","1.669","",""
"https://vacationdeals.to/rate-recap-villa-group","text/html; charset=utf-8","200","OK","Indexable","","81","1.651","",""
"https://vacationdeals.to/rate-recap-timeshare-presentation-deals","text/html; charset=utf-8","200","OK","Indexable","","81","1.694","",""
"https://vacationdeals.to/rate-recap-marriott","text/html; charset=utf-8","200","OK","Indexable","","81","1.706","",""
"https://vacationdeals.to/rate-recap-premier-travel","text/html; charset=utf-8","200","OK","Indexable","","81","1.718","",""
"https://vacationdeals.to/rate-recap-vacation-village","text/html; charset=utf-8","200","OK","Indexable","","81","1.586","",""
"https://vacationdeals.to/rate-recap-holiday-inn","text/html; charset=utf-8","200","OK","Indexable","","81","1.571","",""
"https://vacationdeals.to/_next/static/chunks/app/(frontend)/rate-recap/page-a0e9d78798a13c5c.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.892","",""
"https://vacationdeals.to/rate-recap-govip","text/html; charset=utf-8","200","OK","Indexable","","81","1.639","",""
"https://vacationdeals.to/rate-recap-westin-vc","text/html; charset=utf-8","200","OK","Indexable","","81","1.549","",""
"https://vacationdeals.to/rate-recap-festiva","text/html; charset=utf-8","200","OK","Indexable","","81","1.585","",""
"https://vacationdeals.to/rate-recap-vacationvip","text/html; charset=utf-8","200","OK","Indexable","","81","1.400","",""
"https://vacationdeals.to/rate-recap-exploria","text/html; charset=utf-8","200","OK","Indexable","","81","1.857","",""
"https://vacationdeals.to/rate-recap-departure-depot","text/html; charset=utf-8","200","OK","Indexable","","81","1.762","",""
"https://vacationdeals.to/rate-recap-staypromo","text/html; charset=utf-8","200","OK","Indexable","","81","1.696","",""
"https://vacationdeals.to/rate-recap-hyatt","text/html; charset=utf-8","200","OK","Indexable","","81","1.750","",""
"https://vacationdeals.to/rate-recap-tafer","text/html; charset=utf-8","200","OK","Indexable","","81","0.953","",""
"https://vacationdeals.to/rate-recap-el-cid","text/html; charset=utf-8","200","OK","Indexable","","81","0.920","",""
"https://vacationdeals.to/vacpack-rate-showdown","text/html; charset=utf-8","200","OK","Indexable","","1","1.702","",""
"https://vacationdeals.to/rate-recap-spinnaker","text/html; charset=utf-8","200","OK","Indexable","","81","1.250","",""
"https://vacationdeals.to/rate-recap-margaritaville","text/html; charset=utf-8","200","OK","Indexable","","81","1.254","",""
"https://vacationdeals.to/myrtle-beach-summer","text/html; charset=utf-8","200","OK","Indexable","","59","1.110","",""
"https://vacationdeals.to/rate-recap-vegas-timeshare","text/html; charset=utf-8","200","OK","Indexable","","81","1.325","",""
"https://vacationdeals.to/rate-recap-westgate","text/html; charset=utf-8","200","OK","Indexable","","81","1.256","",""
"https://vacationdeals.to/myrtle-beach-pet-friendly","text/html; charset=utf-8","200","OK","Indexable","","49","0.089","",""
"https://vacationdeals.to/myrtle-beach-last-minute","text/html; charset=utf-8","200","OK","Indexable","","58","0.151","",""
"https://vacationdeals.to/myrtle-beach-2-night","text/html; charset=utf-8","200","OK","Indexable","","55","0.119","",""
"https://vacationdeals.to/myrtle-beach-memorial-day-weekend","text/html; charset=utf-8","200","OK","Indexable","","55","0.126","",""
"https://vacationdeals.to/myrtle-beach-fall","text/html; charset=utf-8","200","OK","Indexable","","59","0.143","",""
"https://vacationdeals.to/myrtle-beach-under-149","text/html; charset=utf-8","200","OK","Indexable","","55","0.183","",""
"https://vacationdeals.to/myrtle-beach-winter","text/html; charset=utf-8","200","OK","Indexable","","58","0.095","",""
"https://vacationdeals.to/myrtle-beach-labor-day-weekend","text/html; charset=utf-8","200","OK","Indexable","","52","0.074","",""
"https://vacationdeals.to/deals/holiday-inn-myrtle-beach-3-night-100","text/html; charset=utf-8","200","OK","Indexable","","27","0.080","",""
"https://vacationdeals.to/myrtle-beach-for-couples","text/html; charset=utf-8","200","OK","Indexable","","59","0.128","",""
"https://vacationdeals.to/myrtle-beach-spring","text/html; charset=utf-8","200","OK","Indexable","","55","0.096","",""
"https://vacationdeals.to/myrtle-beach-for-seniors","text/html; charset=utf-8","200","OK","Indexable","","55","0.139","",""
"https://vacationdeals.to/myrtle-beach-for-families","text/html; charset=utf-8","200","OK","Indexable","","54","0.118","",""
"https://vacationdeals.to/myrtle-beach-for-groups","text/html; charset=utf-8","200","OK","Indexable","","59","0.143","",""
"https://vacationdeals.to/myrtle-beach-under-99","text/html; charset=utf-8","200","OK","Indexable","","55","0.075","",""
