"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://vacationdeals.to/","0","Indexable","","","","index, follow","","","","",""
"https://vacationdeals.to/resort-roulette","1","Indexable","","https://vacationdeals.to/resort-roulette","","index, follow","","","","",""
"https://vacationdeals.to/hgv","1","Indexable","","https://vacationdeals.to/hgv","","index, follow","","","","",""
"https://vacationdeals.to/brands","1","Indexable","","https://vacationdeals.to/brands","","index, follow","","","","",""
"https://vacationdeals.to/hyatt","1","Indexable","","https://vacationdeals.to/hyatt","","index, follow","","","","",""
"https://vacationdeals.to/marriott","1","Indexable","","https://vacationdeals.to/marriott","","index, follow","","","","",""
"https://vacationdeals.to/deals/westgate-branson-3-night-59","1","Indexable","","https://vacationdeals.to/deals/westgate-branson-3-night-59","","index, follow","","","","",""
"https://vacationdeals.to/deals/westgate-events-branson-3-night-49.00","1","Indexable","","https://vacationdeals.to/deals/westgate-events-branson-3-night-49.00","","index, follow","","","","",""
"https://vacationdeals.to/deals/westgate-orlando-2-night-59","1","Indexable","","https://vacationdeals.to/deals/westgate-orlando-2-night-59","","index, follow","","","","",""
"https://vacationdeals.to/cancun","1","Indexable","","https://vacationdeals.to/cancun","","index, follow","","","","",""
"https://vacationdeals.to/destinations","0","Indexable","","","","index, follow","","","","",""
"https://vacationdeals.to/wyndham","1","Indexable","","https://vacationdeals.to/wyndham","","index, follow","","","","",""
"https://vacationdeals.to/deals/westgate-gatlinburg-2-night-59","1","Indexable","","https://vacationdeals.to/deals/westgate-gatlinburg-2-night-59","","index, follow","","","","",""
"https://vacationdeals.to/deals/westgate-williamsburg-2-night-79","1","Indexable","","https://vacationdeals.to/deals/westgate-williamsburg-2-night-79","","index, follow","","","","",""
"https://vacationdeals.to/las-vegas","1","Indexable","","https://vacationdeals.to/las-vegas","","index, follow","","","","",""
"https://vacationdeals.to/branson","1","Indexable","","https://vacationdeals.to/branson","","index, follow","","","","",""
"https://vacationdeals.to/deals/westgate-events-orlando-3-night-79.00","1","Indexable","","https://vacationdeals.to/deals/westgate-events-orlando-3-night-79.00","","index, follow","","","","",""
"https://vacationdeals.to/timeshare-laws","1","Indexable","","https://vacationdeals.to/timeshare-laws","","index, follow","","","","",""
